,Mstage [-],u_top [cm]
203,0.903744507,8.726388192
204,0.903747559,8.77051388
205,0.90375061,8.81536115
206,0.903753662,8.860720153
207,0.903756714,8.906398365
208,0.903759766,8.952115774
209,0.903762817,8.997464974
210,0.903765869,9.041555848
211,0.903767395,9.062291696
212,0.903768921,9.082576164
213,0.903770447,9.101918626
214,0.903771973,9.119970225
215,0.903773499,9.136888853
216,0.903775024,9.15293142
217,0.90377655,9.167852802
218,0.903778076,9.1818412
219,0.903779602,9.195193966
220,0.903781116,9.208002868
221,0.903782666,9.220197541
222,0.903784156,9.231737605
223,0.903785706,9.242573841
224,0.903787255,9.252632365
225,0.903788745,9.261878963
226,0.903790295,9.270016822
227,0.903791785,9.277258371
228,0.903793335,9.283675973
229,0.903796375,9.295418407
230,0.903799415,9.306437636
231,0.903802514,9.316845921
232,0.903805554,9.326889866
233,0.903808594,9.336525738
234,0.903811634,9.34578373
235,0.903814673,9.354575736
236,0.903817773,9.362842976
237,0.903820813,9.37051733
238,0.903823853,9.377598351
239,0.903826892,9.384075215
240,0.903829932,9.389945162
241,0.903833032,9.39525706
242,0.903836071,9.400092134
243,0.903842151,9.409170945
244,0.90384829,9.418114169
245,0.90385437,9.427104995
246,0.903866589,9.445911161
247,0.903878808,9.466411802
248,0.903884888,9.47833882
249,0.903897107,9.504248957
250,0.903909326,9.532459868
251,0.903921485,9.563444737
252,0.903933704,9.596870325
253,0.903939843,9.614587699
254,0.903952003,9.651133653
255,0.903958142,9.669960941
256,0.903964221,9.688997309
257,0.903970361,9.708378649
258,0.90397644,9.727962263
259,0.90398252,9.747676674
260,0.903988659,9.767432752
261,0.903994739,9.787132059
262,0.904000878,9.806563975
263,0.904006958,9.825524829
264,0.904013038,9.843732084
265,0.904019177,9.861181993
266,0.904025257,9.877630034
267,0.904031396,9.893001115
268,0.904037476,9.90688183
269,0.904043579,9.919389843
